iter	Logloss
0	0.6617671292
1	0.6342432182
2	0.6131321812
3	0.5927083128
4	0.5767678325
5	0.562182306
6	0.5480018867
7	0.5359123603
8	0.5260961134
9	0.5175582015
10	0.5098069497
11	0.5024203833
12	0.4958963627
13	0.4917350828
14	0.4861055989
15	0.4816505995
16	0.4786730361
17	0.4748619323
18	0.4722364274
19	0.4697541787
20	0.4686759588
21	0.4658696608
22	0.464269978
23	0.4620710833
24	0.4606580271
25	0.457767759
26	0.4555388359
27	0.4537897696
28	0.4518828011
29	0.4502206072
30	0.4481327999
31	0.4463154473
32	0.4453059717
33	0.4438928191
34	0.4438266831
35	0.4430089286
36	0.4418948418
37	0.4410925752
38	0.4401288761
39	0.4387324411
40	0.4369683279
41	0.4358727026
42	0.4352908402
43	0.4344635195
44	0.4337162497
45	0.432780376
46	0.431986202
47	0.4313428835
48	0.4306525952
49	0.4299077267
50	0.4295075217
51	0.4289125322
52	0.4281287043
53	0.4274417397
54	0.4266885636
55	0.4261148686
56	0.4256952518
57	0.4248378331
58	0.4237632689
59	0.4234426222
60	0.4228461028
61	0.4224890805
62	0.4220220166
63	0.4215997667
64	0.4210037495
65	0.4201315005
66	0.4200785824
67	0.4193801138
68	0.4190363976
69	0.4186288169
70	0.4181896391
71	0.4180545666
72	0.4173440043
73	0.4168480411
74	0.416496117
75	0.4158588111
76	0.414979201
77	0.4148734468
78	0.4144694651
79	0.4142389739
80	0.413849187
81	0.4131739962
82	0.4125631712
83	0.4122340197
84	0.4116617779
85	0.4112092332
86	0.4108144626
87	0.410692507
88	0.4105411757
89	0.4103262066
90	0.4098787476
91	0.409844979
92	0.4096224357
93	0.4092577505
94	0.4090627285
95	0.4090406688
96	0.4087171991
97	0.4084671084
98	0.4078911971
99	0.4078480837
