iter	Passed	Remaining
0	0	90
1	2	102
2	3	97
3	3	94
4	4	91
5	5	88
6	6	87
7	7	84
8	8	85
9	9	84
10	9	80
11	10	79
12	11	78
13	12	78
14	13	77
15	14	77
16	15	76
17	16	75
18	17	74
19	18	73
20	19	73
21	20	72
22	21	71
23	22	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	63
31	29	62
32	30	61
33	31	61
34	32	59
35	32	58
36	33	57
37	34	56
38	35	56
39	36	55
40	37	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	43
54	51	42
55	52	41
56	54	40
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	83	14
85	84	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	90	7
92	91	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
